epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,test_loss,test_accuracy
1,1.4086219055899258,0.4724137931034483,0.7290388345718384,0.859375,,
2,0.5046000154881641,0.8689655172413793,0.1829239334911108,0.953125,,
3,0.16893270920062886,0.9551724137931035,0.13001712504774332,0.953125,,
4,0.12390972776659603,0.9689655172413794,0.14436490833759308,0.9375,,
5,0.19234734711975887,0.9517241379310345,0.469199039041996,0.84375,,
6,0.1893923336061938,0.9379310344827586,0.266558188945055,0.9375,,
7,0.07487342876606974,0.9862068965517241,0.21060545090585947,0.921875,,
8,0.07874079387763451,0.9758620689655172,0.18017033394426107,0.921875,,
9,0.0554799173926485,0.9896551724137931,0.16625028057023883,0.953125,,
10,0.0642069294791797,0.9896551724137931,0.11030817963182926,0.953125,0.26097509264945984,0.90625
11,0.04021209474524547,0.9896551724137931,0.12995887314900756,0.953125,,
12,0.05539606137779252,0.9862068965517241,0.046827205223962665,0.984375,,
13,0.043427053071430015,0.9896551724137931,0.17568755033425987,0.921875,,
14,0.03862643860408972,0.996551724137931,0.1094460001331754,0.953125,,
15,0.04843264388498561,0.9862068965517241,0.0678403980564326,0.96875,,
16,0.053567634555029456,0.9896551724137931,0.14899494498968124,0.921875,,
17,0.03154919935583041,0.993103448275862,0.04434701520949602,0.984375,,
18,0.043041519730769355,0.9862068965517241,0.10951937641948462,0.9375,,
19,0.07257821132139913,0.9724137931034482,0.12267690151929855,0.953125,,
20,0.14421609835378055,0.9655172413793104,1.2448398917913437,0.734375,1.4949587285518646,0.71875
21,0.06234245920104199,0.9896551724137931,0.143707319162786,0.953125,,
22,0.04836073539637286,0.9896551724137931,0.1281880340538919,0.96875,,
23,0.036565300989253764,0.9862068965517241,0.10247759649064392,0.96875,,
24,0.05961846513994809,0.9793103448275862,0.18456389638595283,0.953125,,
25,0.15493937092351504,0.9655172413793104,0.17730101849883795,0.953125,,
26,0.047873801789407075,0.993103448275862,0.11456924583762884,0.9375,,
27,0.0683118037879467,0.9827586206896551,0.058040149975568056,0.96875,,
28,0.02839140605245685,0.9862068965517241,0.1860194164328277,0.90625,,
29,0.06846064323366716,0.9793103448275862,0.08638250641524792,0.96875,,
30,0.02005195102236908,0.996551724137931,0.35726197296753526,0.890625,0.21421786723658442,0.9375
31,0.007548991409290967,1.0,0.11840207502245903,0.953125,,
32,0.008292533360534059,1.0,0.10044945043046027,0.96875,,
33,0.0026672704936133635,1.0,0.03142928739544004,0.984375,,
34,0.006787162549103257,1.0,0.05300333350896835,0.984375,,
35,0.0420732308428028,0.9862068965517241,0.36420871084555984,0.890625,,
36,0.0713288978801976,0.9689655172413794,0.2013229430303909,0.921875,,
37,0.059209165413831845,0.9896551724137931,0.11387791857123375,0.953125,,
38,0.040239674135528765,0.9896551724137931,0.1633290693280287,0.921875,,
39,0.07174488876400323,0.9862068965517241,0.13751421123743057,0.96875,,
40,0.05256894349024214,0.9793103448275862,0.13632478355430067,0.953125,0.2975317845121026,0.90625
41,0.035731839703331734,0.9862068965517241,0.05377296800725162,0.96875,,
42,0.047561403325405614,0.9793103448275862,0.13811093010008335,0.953125,,
43,0.04698359944119022,0.9827586206896551,0.08774173719575629,0.96875,,
44,0.061752662891200905,0.9793103448275862,0.18078566389158368,0.96875,,
45,0.031154183136170795,0.9862068965517241,0.1302199261263013,0.96875,,
46,0.05048262620794362,0.9862068965517241,0.15855629043653607,0.953125,,
47,0.03853971430839136,0.9896551724137931,0.06634765898343176,0.96875,,
48,0.009411877288547312,0.996551724137931,0.3402043804526329,0.953125,,
49,0.01871326703032286,0.996551724137931,0.05193132418207824,0.984375,,
50,0.01958857938358239,0.996551724137931,0.053668036591261625,0.984375,0.13265931839123368,0.9375
